state,year,condition,instrument,measure,question_id,orientation,strat_category,strat_group,value,ci_lo,ci_hi,unit,suppressed,no_data,caution,footnote_symbol,footnote
NM,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.0,8.3,12.1,%,False,False,False,,
NV,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.9,8.5,11.5,%,False,False,False,,
NV,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.6,8.2,11.2,%,False,False,False,,
NV,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.2,11.6,%,False,False,False,,
NV,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.0,8.5,11.7,%,False,False,False,,
NV,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.9,7.4,10.7,%,False,False,False,,
NY,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.1,9.4,10.9,%,False,False,False,,
NY,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.2,9.5,10.9,%,False,False,False,,
NY,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.8,10.2,11.3,%,False,False,False,,
NY,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.3,9.7,11.0,%,False,False,False,,
NY,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.9,9.3,10.6,%,False,False,False,,
OH,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.0,11.1,13.1,%,False,False,False,,
OH,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.9,10.1,11.7,%,False,False,False,,
OH,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.5,10.7,12.3,%,False,False,False,,
OH,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.5,10.8,12.4,%,False,False,False,,
OH,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.1,10.2,12.0,%,False,False,False,,
OK,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.4,10.5,12.5,%,False,False,False,,
OK,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.1,11.0,13.3,%,False,False,False,,
OK,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.1,11.0,13.3,%,False,False,False,,
OK,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.4,11.3,13.5,%,False,False,False,,
OK,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.2,10.3,12.2,%,False,False,False,,
OR,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.3,11.2,13.4,%,False,False,False,,
OR,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.5,10.5,12.6,%,False,False,False,,
OR,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.2,11.2,13.4,%,False,False,False,,
OR,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.4,10.5,12.5,%,False,False,False,,
OR,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.8,10.8,12.9,%,False,False,False,,
PA,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.6,10.6,12.8,%,False,False,False,,
PA,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.3,10.2,12.6,%,False,False,False,,
PA,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.2,10.2,12.3,%,False,False,False,,
PA,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.2,8.9,11.6,%,False,False,False,,
PA,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,,,,%,False,True,False,*,No data available
PR,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.8,9.8,11.8,%,False,False,False,,
PR,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.1,12.2,%,False,False,False,,
PR,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.5,10.2,12.9,%,False,False,False,,
PR,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.7,11.5,14.1,%,False,False,False,,
PR,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,14.2,12.7,15.8,%,False,False,False,,
RI,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.0,10.7,13.3,%,False,False,False,,
RI,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.8,11.4,14.2,%,False,False,False,,
RI,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,13.4,12.1,14.7,%,False,False,False,,
RI,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,13.4,12.1,14.8,%,False,False,False,,
RI,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.3,11.0,13.7,%,False,False,False,,
SC,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.5,11.7,%,False,False,False,,
SC,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.6,11.2,%,False,False,False,,
SC,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.7,8.8,10.7,%,False,False,False,,
SC,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.8,8.0,9.7,%,False,False,False,,
SC,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.6,7.7,9.6,%,False,False,False,,
SD,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.2,7.8,10.9,%,False,False,False,,
SD,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.8,7.4,10.5,%,False,False,False,,
SD,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,7.8,11.2,%,False,False,False,,
SD,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.5,7.0,10.2,%,False,False,False,,
SD,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,7.8,11.4,%,False,False,False,,
TN,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.8,11.0,%,False,False,False,,
TN,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.0,9.8,12.4,%,False,False,False,,
TN,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.7,10.5,13.0,%,False,False,False,,
TN,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.7,10.5,13.0,%,False,False,False,,
TN,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.1,10.0,12.4,%,False,False,False,,
TX,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,7.6,6.7,8.5,%,False,False,False,,
TX,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.5,7.6,9.5,%,False,False,False,,
