LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
HI,2022,Diabetes,,63.0,10.4,,59.6,9.5,,66.5,11.4
HI,2023,Asthma,,,9.8,,,8.8,,,10.9
HI,2023,Cardiovascular Disease,,,28.3,,,26.9,,,29.7
HI,2023,Chronic Obstructive Pulmonary Disease,,,3.6,,,3.1,,,4.2
HI,2023,Diabetes,,,9.5,,,8.7,,,10.5
IA,2019,Asthma,,1.5,8.9,,1.1,8.2,,2.0,9.6
IA,2019,Cardiovascular Disease,16.59,172.9,29.2,16.19,168.9,28.2,16.99,176.9,30.1
IA,2019,Chronic Obstructive Pulmonary Disease,4.58,120.1,5.5,4.37,114.5,5.1,4.79,125.7,6.1
IA,2019,Diabetes,,82.1,9.1,,79.3,8.5,,84.9,9.7
IA,2020,Asthma,,1.3,9.9,,1.0,9.2,,1.8,10.7
IA,2020,Cardiovascular Disease,14.11,172.9,,13.74,168.9,,14.48,176.9,
IA,2020,Chronic Obstructive Pulmonary Disease,2.67,108.0,5.6,2.51,102.7,5.1,2.83,113.3,6.1
IA,2020,Diabetes,,108.6,9.1,,105.4,8.5,,111.8,9.7
IA,2021,Asthma,,1.1,10.0,,0.8,9.2,,1.5,10.9
IA,2021,Cardiovascular Disease,14.94,184.9,28.6,14.55,180.7,27.5,15.33,189.1,29.7
IA,2021,Chronic Obstructive Pulmonary Disease,2.64,110.4,5.9,2.48,105.0,5.3,2.8,115.9,6.5
IA,2021,Diabetes,,107.5,8.7,,104.3,8.0,,110.7,9.3
IA,2022,Asthma,,1.0,9.7,,0.7,8.9,,1.4,10.7
IA,2022,Cardiovascular Disease,15.01,176.8,,14.62,172.8,,15.4,180.8,
IA,2022,Chronic Obstructive Pulmonary Disease,2.91,107.8,5.8,2.74,102.6,5.3,3.08,113.1,6.5
IA,2022,Diabetes,,100.0,10.3,,96.9,9.6,,103.0,11.1
IA,2023,Asthma,,,9.0,,,8.2,,,9.8
IA,2023,Cardiovascular Disease,,,31.3,,,30.1,,,32.5
IA,2023,Chronic Obstructive Pulmonary Disease,,,5.4,,,4.8,,,5.9
IA,2023,Diabetes,,,9.9,,,9.2,,,10.7
ID,2019,Asthma,,,11.2,,,10.0,,,12.6
ID,2019,Cardiovascular Disease,12.63,150.7,28.7,12.09,145.3,27.0,13.17,156.1,30.4
ID,2019,Chronic Obstructive Pulmonary Disease,3.61,133.0,4.7,3.32,124.6,4.0,3.9,141.5,5.4
ID,2019,Diabetes,,80.3,9.3,,76.4,8.4,,84.2,10.4
ID,2020,Asthma,,1.1,10.2,,0.7,9.1,,1.7,11.5
ID,2020,Cardiovascular Disease,11.15,151.9,,10.64,146.6,,11.66,157.3,
ID,2020,Chronic Obstructive Pulmonary Disease,2.29,109.1,5.2,2.06,101.7,4.5,2.52,116.6,6.0
ID,2020,Diabetes,,98.0,8.0,,93.8,7.1,,102.3,9.0
ID,2021,Asthma,,,10.5,,,9.5,,,11.4
ID,2021,Cardiovascular Disease,12.01,166.4,28.2,11.48,160.7,27.1,12.54,172.0,29.4
ID,2021,Chronic Obstructive Pulmonary Disease,2.35,118.0,5.2,2.12,110.2,4.6,2.58,125.9,5.8
ID,2021,Diabetes,,113.5,8.8,,108.9,8.1,,118.1,9.6
ID,2022,Asthma,,,11.1,,,10.1,,,12.2
ID,2022,Cardiovascular Disease,12.14,156.3,,11.6,151.0,,12.67,161.5,
ID,2022,Chronic Obstructive Pulmonary Disease,1.77,115.9,5.5,1.57,108.5,4.9,1.97,123.3,6.2
ID,2022,Diabetes,,98.7,8.9,,94.6,8.1,,102.8,9.7
ID,2023,Asthma,,,10.5,,,9.5,,,11.6
ID,2023,Cardiovascular Disease,,,28.5,,,27.2,,,29.9
ID,2023,Chronic Obstructive Pulmonary Disease,,,5.6,,,4.9,,,6.3
ID,2023,Diabetes,,,8.7,,,7.9,,,9.6
IL,2019,Asthma,,1.2,8.7,,1.0,7.8,,1.4,9.7
IL,2019,Cardiovascular Disease,29.48,162.0,29.7,29.19,160.0,28.4,29.77,164.0,31.0
IL,2019,Chronic Obstructive Pulmonary Disease,9.5,96.1,5.3,9.33,93.5,4.7,9.67,98.7,6.0
IL,2019,Diabetes,,53.6,10.1,,52.4,9.3,,54.7,10.9
IL,2020,Asthma,,1.3,9.1,,1.1,7.9,,1.5,10.5
IL,2020,Cardiovascular Disease,24.07,171.4,,23.8,169.4,,24.34,173.5,
IL,2020,Chronic Obstructive Pulmonary Disease,5.59,93.0,5.7,5.46,90.4,4.8,5.71,95.5,6.6
IL,2020,Diabetes,,88.4,9.4,,86.9,8.3,,89.9,10.6
IL,2021,Asthma,,0.9,9.4,,0.8,8.0,,1.1,11.0
IL,2021,Cardiovascular Disease,28.28,169.8,27.5,27.98,167.8,25.7,28.57,171.9,29.4
