state,year,condition,brfss_prevalence_aa,brfss_prevalence_lo,brfss_prevalence_hi,nvss_mortality_aa,nvss_mortality_lo,nvss_mortality_hi,cms_hospitalization_aa,cms_hospitalization_lo,cms_hospitalization_hi,brfss_treatment_rate,brfss_treatment_lo,brfss_treatment_hi,brfss_treatment_question,n_suppressed
OH,2022,copd,8.5,7.8,9.1,118.0,115.1,120.9,8.29,8.11,8.48,53.4,47.8,58.9,COPD02,0
OH,2023,copd,6.9,6.4,7.4,,,,,,,59.4,49.8,68.3,COPD02,0
OK,2019,copd,8.1,7.3,8.9,174.2,167.9,180.6,8.72,8.45,8.99,57.3,48.3,65.8,COPD02,0
OK,2020,copd,7.9,7.1,8.8,166.4,160.3,172.6,5.29,5.08,5.5,58.9,50.5,66.9,COPD02,0
OK,2021,copd,7.3,6.5,8.2,168.5,162.1,174.8,4.53,4.33,4.73,59.6,51.6,67.2,COPD02,0
OK,2022,copd,7.5,6.8,8.3,173.4,167.1,179.7,4.56,4.36,4.77,53.8,45.4,62.0,COPD02,0
OK,2023,copd,7.1,6.5,7.9,,,,,,,53.3,43.7,62.7,COPD02,0
OR,2019,copd,5.5,4.9,6.3,105.5,100.9,110.1,5.12,4.88,5.36,60.4,53.3,67.0,COPD02,0
OR,2020,copd,5.1,4.5,5.8,94.6,90.3,98.9,3.08,2.9,3.27,62.2,52.3,71.1,COPD02,0
OR,2021,copd,5.3,4.7,6.1,93.7,89.3,98.1,2.53,2.37,2.7,68.7,59.8,76.4,COPD02,0
OR,2022,copd,5.8,5.1,6.6,94.0,89.8,98.3,2.89,2.71,3.06,72.8,63.1,80.7,COPD02,0
OR,2023,copd,5.7,5.0,6.5,,,,,,,69.1,57.3,78.8,COPD02,0
PA,2019,copd,6.3,5.6,7.1,94.7,92.3,97.1,11.3,11.11,11.49,59.2,51.7,66.4,COPD02,0
PA,2020,copd,6.4,5.7,7.3,89.9,87.5,92.2,6.98,6.83,7.13,54.5,47.8,61.1,COPD02,0
PA,2021,copd,6.0,5.3,6.7,83.3,81.0,85.5,6.72,6.57,6.87,63.4,54.0,71.8,COPD02,0
